City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Leningradskiy,44,RU,1551569333,100,69.38,178.42,5.66,6.96
Oliveira,64,BR,1551569333,92,-20.7,-44.83,64.07,2.93
Samana,40,EC,1551567600,69,0.12,-76.97,86.0,3.36
Buchanan,20,LR,1551567600,94,5.88,-10.05,78.8,6.17
Pauini,0,BR,1551569334,86,-7.71,-67.0,78.02,3.15
Sobolevo,48,RU,1551569334,79,54.43,31.9,15.02,14.79
Vila Velha,75,BR,1551568752,88,-3.71,-38.6,79.0,6.93
Farmington,90,US,1551569319,93,36.73,-108.21,45.0,5.82
Doha,40,QA,1551567360,47,25.29,51.53,60.8,6.93
Northam,92,GB,1551569235,87,51.04,-4.21,50.0,17.22
Manokwari,48,ID,1551569336,100,-0.87,134.08,79.41,7.18
Prieska,0,ZA,1551569336,54,-29.67,22.74,62.76,5.06
Katsuura,90,JP,1551569084,87,33.93,134.5,48.99,3.36
Shumikha,88,RU,1551569337,85,55.23,63.28,17.13,3.49
Beaufort,75,MY,1551565800,100,5.36,115.76,75.2,3.27
Haines Junction,80,CA,1551569337,83,60.75,-137.51,16.14,2.15
Saint-Pierre,0,FR,1551568924,87,48.95,4.24,48.0,14.99
Lumeje,48,AO,1551569338,95,-11.56,20.78,65.78,2.93
Manakara,56,MG,1551569338,96,-22.14,48.01,77.79,7.18
Shatki,48,RU,1551569338,83,55.19,44.12,10.56,7.18
Tucupita,56,VE,1551569339,68,9.06,-62.05,79.19,10.2
Laguna,90,MX,1551566400,25,27.52,-110.01,84.2,5.82
Chenzhou,88,CN,1551569340,100,25.81,113.03,44.63,5.17
Yichun,88,CN,1551569340,100,27.8,114.38,45.39,3.83
Belle Glade,1,US,1551569298,73,26.68,-80.67,81.0,8.05
Banjar,76,ID,1551569340,97,-7.37,108.54,73.11,2.71
Abu Samrah,92,SY,1551569341,94,35.3,37.18,48.63,10.54
Plastun,0,RU,1551569341,45,44.76,136.29,34.55,2.37
Tshikapa,12,CD,1551569341,98,-6.42,20.79,71.27,2.15
Colares,20,PT,1551569222,87,38.8,-9.45,55.0,9.17
Necochea,0,AR,1551568873,74,-38.55,-58.74,64.0,1.01
Pucallpa,20,PE,1551567600,331,-8.38,-74.54,35.6,6.93
Ebeltoft,68,DK,1551569325,87,56.2,10.68,42.8,8.05
Morshansk,64,RU,1551569343,82,53.44,41.81,14.21,7.29
Najran,5,SA,1551564000,53,17.54,44.22,64.4,6.93
Lingao,44,CN,1551569343,91,19.91,109.69,72.26,4.38
Bereznik,80,RU,1551569344,86,62.86,42.71,16.01,7.52
Kurilsk,0,RU,1551569344,97,45.23,147.88,26.04,5.73
Pevek,24,RU,1551569078,79,69.7,170.27,-4.61,3.94
Kalmunai,92,LK,1551569344,100,7.42,81.82,75.81,4.16
Husavik,32,CA,1551569041,66,50.56,-96.99,-3.0,8.01
Vila Franca do Campo,40,PT,1551567600,88,37.72,-25.43,62.6,23.04
Pokhara,92,NP,1551569345,73,28.21,83.99,40.26,1.48
Key West,1,US,1551569305,70,47.93,-96.78,-2.01,10.29
Lang Son,92,VN,1551569346,100,21.83,106.73,65.51,4.72
Stillwater,90,US,1551569175,74,36.12,-97.06,36.0,6.93
Linhares,0,BR,1551569347,79,-19.38,-40.06,79.46,8.97
Biak,20,ID,1551569347,98,-0.91,122.88,79.64,1.25
Darab,32,IR,1551569347,79,28.75,54.55,27.89,1.59
Clarence Town,12,AU,1551569319,54,-32.59,151.78,81.0,11.41
Turukhansk,76,RU,1551569348,85,65.8,87.96,16.46,14.67
Libano,20,IT,1551569303,100,46.15,12.16,46.0,2.24
Payo,88,ID,1551569349,98,-3.75,103.64,72.62,4.38
Kavaratti,32,IN,1551569075,100,10.57,72.64,81.17,9.19
Bakal,80,RU,1551569349,79,54.94,58.81,18.03,3.04
Jiuquan,0,CN,1551569350,44,39.73,98.49,2.51,3.04
Vakhrushev,0,RU,1551569350,76,48.99,142.86,17.09,3.71
Dalbandin,12,PK,1551569350,92,28.9,64.41,43.68,6.17
Bowen,40,AU,1551569046,83,-20.01,148.25,82.0,12.75
Horsham,76,AU,1551569255,53,-36.71,142.2,81.39,4.83
Pakxan,0,LA,1551569351,91,18.39,103.66,67.53,1.92
Praia,0,BR,1551564000,83,-20.25,-43.81,71.6,3.36
Vodnyy,0,RU,1551569351,61,63.51,53.41,-13.79,2.26
Sao Paulo de Olivenca,8,BR,1551569352,84,-3.38,-68.87,80.45,1.48
Aswan,0,EG,1551564000,26,24.09,32.9,55.4,3.36
Baturaja,88,ID,1551569352,98,-4.12,104.17,73.7,3.83
Buala,92,SB,1551569352,75,-8.15,159.59,85.71,2.82
Bukama,92,CD,1551569353,100,-9.2,25.85,67.31,4.05
Dingle,36,PH,1551569353,82,11.0,122.67,77.12,9.98
Kupang,20,ID,1551569353,95,-10.16,123.6,83.46,6.4
Ballina,44,IE,1551569323,72,54.11,-9.15,48.99,13.0
Komsomolskiy,36,RU,1551569354,62,67.55,63.78,-8.3,5.39
Ouesso,64,CG,1551569354,94,1.61,16.05,73.56,3.15
Policoro,40,IT,1551569052,87,40.21,16.68,52.0,9.17
Bambous Virieux,75,MU,1551569347,83,-20.34,57.76,80.01,6.93
Mackenzie,1,CA,1551567600,30,55.34,-123.09,12.2,9.17
Raymond Terrace,64,AU,1551569319,54,-32.76,151.75,81.0,11.41
Belmonte,12,PT,1551569355,80,40.36,-7.35,38.91,2.26
Harbour Breton,0,CA,1551569028,100,47.48,-55.8,27.0,16.35
Hami,0,CN,1551569355,54,42.84,93.51,22.71,4.27
Carutapera,80,BR,1551569285,92,-1.2,-46.02,77.84,7.96
Gambela,24,ET,1551569356,88,8.25,34.59,60.02,2.59
Mogadishu,0,SO,1551569356,100,2.04,45.34,78.92,10.98
Hatillo,90,PR,1551569144,100,18.49,-66.83,79.0,6.93
Poyarkovo,0,RU,1551569357,77,49.62,128.65,15.83,2.82
Mareeba,75,AU,1551569131,78,-16.99,145.42,79.0,9.17
Masunga,0,BW,1551569357,56,-20.62,27.45,71.58,10.31
Vestmannaeyjar,0,IS,1551569358,100,63.44,-20.27,30.59,7.07
Cocobeach,20,GA,1551567600,83,1.01,9.58,80.6,4.7
Karasburg,0,NA,1551569359,57,-28.01,18.75,64.97,4.72
Krasnaya Yaruga,75,RU,1551565800,85,50.8,35.66,23.0,6.71
Formosa do Rio Preto,64,BR,1551569362,94,-11.04,-45.19,69.51,2.71
Hokitika,0,NZ,1551569363,91,-42.72,170.96,63.21,4.38
Usinsk,20,RU,1551569363,75,66.0,57.56,2.42,8.63
Ostrovnoy,0,RU,1551569363,65,68.05,39.51,2.06,10.76
Mayo,5,CA,1551567600,34,63.59,-135.9,19.4,14.99
Mumford,64,GH,1551569363,87,5.26,-0.76,79.86,6.73
Teahupoo,20,PF,1551568512,70,-17.83,-149.27,87.8,6.93
Kinshasa,20,CD,1551567600,83,-4.32,15.31,78.8,3.36
Prince Rupert,1,CA,1551567600,19,54.32,-130.32,39.2,6.93
Yuanping,0,CN,1551569364,71,38.72,112.71,22.58,2.26
Nouadhibou,0,MR,1551567600,59,20.93,-17.03,66.2,17.22
Olden,68,NO,1551569221,97,61.84,6.81,36.0,1.01
Alice Springs,0,AU,1551565800,25,-23.7,133.88,86.0,1.12
Porto Novo,75,BR,1551567600,100,-23.68,-45.44,73.4,2.24
Qaqortoq,32,GL,1551567000,37,60.72,-46.03,33.8,5.82
Lagos,0,NG,1551564000,70,6.46,3.39,84.2,2.24
Aklavik,5,CA,1551567600,59,68.22,-135.01,5.0,12.75
Marzuq,0,YE,1551569366,86,14.4,46.47,52.82,2.37
Hay River,20,CA,1551567600,49,60.82,-115.79,-2.21,2.59
Sena Madureira,0,BR,1551569367,81,-9.07,-68.66,79.23,3.15
Nioro,0,GM,1551569368,31,13.79,-15.05,66.36,10.42
San Lorenzo,0,PY,1551567600,58,-25.34,-57.51,86.0,4.7
Cururupu,76,BR,1551569368,92,-1.82,-44.87,77.43,4.83
Muravlenko,92,RU,1551569297,91,63.79,74.5,22.85,8.19
Malibu,90,US,1551569361,77,33.61,-84.48,64.99,4.7
Cabo San Lucas,20,MX,1551569160,21,22.89,-109.91,84.99,13.87
Ullapool,92,GB,1551569105,88,57.9,-5.16,44.01,7.0
Yanam,76,IN,1551569370,88,16.73,82.22,75.81,4.16
Kidal,0,ML,1551569370,35,18.44,1.41,52.91,4.83
Pleasant Grove,90,US,1551569345,96,40.36,-111.74,37.0,24.16
Flinders,0,AU,1551569129,64,-34.58,150.85,78.01,4.7
Bouar,0,CF,1551569371,85,5.94,15.59,69.69,3.71
Havelock,1,US,1551569223,76,34.88,-76.9,55.99,6.93
Arauca,40,VE,1551564000,36,7.08,-70.76,93.2,5.17
Yerbogachen,80,RU,1551569375,82,61.28,108.01,10.61,2.71
Caceres,32,CO,1551569375,79,5.53,-74.53,72.08,1.03
Lata,100,IN,1551569117,100,30.78,78.62,35.45,1.59
Minsk,0,BY,1551565800,79,53.9,27.56,19.4,8.95
Riyadh,0,SA,1551564000,32,24.63,46.72,55.4,4.7
Babu,0,CN,1551569376,74,23.23,104.89,49.76,1.81
Yamada,75,JP,1551569100,74,36.58,137.08,41.0,2.59
Finschhafen,92,PG,1551569377,88,-6.6,147.85,77.12,2.82
Morwell,0,AU,1551568503,38,-38.24,146.4,82.0,8.99
Meulaboh,36,ID,1551569113,100,4.14,96.13,78.83,1.92
Orange,0,AU,1551569277,55,-33.28,149.1,75.0,6.17
The Pas,90,CA,1551567600,57,53.82,-101.24,-7.61,14.99
